word_count,usd_pledged_real
67,1310
56,8230
22,0.8
38,10210
17,12
11,0.77
37,0
23,313
18,0
60,1374021
38,0
46,4574
23,85
58,284
28,7007.8
18,11687.5
31,3904
54,1000
24,15720
34,318
5,0
40,4603.5
43,396299
25,1740.2
11,1579
22,103114.5
46,2393
44,2820
12,4569
35,526
41,439
28,0.81
47,4176
48,5040.18
46,216
40,1081
14,15
14,585
22,240.77
52,630
14,250
18,4.35
30,1
55,125
15,4
8,0
49,2186
59,8660
36,55
34,136
27,249
6,10
27,5850
16,265
47,0
26,3119.1
50,994
17,1159
47,132.56
38,5325
59,12760.31
13,14
10,4266
21,3026.75
36,2402.95
37,1000
49,100
50,875
37,8376
35,10451.52
34,0.53
20,507
54,4545.66
56,183.76
21,583
58,10205
26,165519
40,21613.47
51,106213
55,4688.5
59,0
21,1
8,49.83
3,1050
58,50230
28,125
5,2754.88
50,20.03
42,1890
29,0
43,5
30,725.5
34,3351
17,75
60,58
8,5002
45,3139
20,7
50,32873.26
57,10752
29,12600.78
40,45155
26,520
54,0
41,0
19,2350
19,30126
13,1
58,1693.27
51,4737
59,251
22,250
18,40546
59,162
56,2179
30,54.72
23,3660.38
16,92.23
53,239.15
21,1
48,1
11,1
26,1645.22
37,9536.67
34,38186
20,18280
31,2688
20,240
29,200
60,23.03
31,0
56,7
34,15
27,2.26
58,120
28,0
56,110
38,3368
17,56359.86
50,11515.91
16,23.78
38,5475
11,200
23,25
27,1215
58,1026
52,702
44,0
23,10164
6,198
13,9097
16,0
42,607
43,175
47,446
16,0
42,175
19,2516.24
25,15
28,1671
31,0
21,539.56
60,5198
18,71
22,200
55,23098
22,590
50,5846
58,626
32,210
27,5
39,24165
38,4540
27,4746.69
23,376
39,38946.01
20,0
38,161
15,0
15,1766.97
24,225
60,11357
25,80
36,3214
12,6
27,855.85
18,270
29,1008
34,281
20,0
16,4.89
40,4251.14
32,82769
36,1704.44
17,0
22,1632
52,5
47,630
29,100
16,0
10,4201
11,396
30,520
43,0
32,0
40,41
29,8312
52,0
44,47377.46
39,225
53,6625
58,6370
16,0
20,10
16,0
29,2990.7
30,5508.74
29,0
49,926.87
36,52837.51
48,5189
10,0
24,125808.4
59,5000
49,0
24,305
40,1
49,5255
51,105.35
43,21849.25
17,0
45,6695
28,0
54,635
58,0
24,865.68
21,20
58,2926
18,1870
59,2340.1
57,7508.46
59,298.52
37,10
47,4653
47,2520.5
20,85744.62
45,0
41,0
35,23000
25,0
24,1195.26
20,582.89
44,2395.41
58,985
24,2667
13,1220
28,1310
43,1585
51,42060.63
60,1141.5
19,2
51,3128
28,421
41,4640
53,0
15,18483
6,30.97
22,60
5,30
13,10120.5
60,5480
33,50
15,8900.33
29,5060
33,3090
31,11944
26,100
32,1
37,300
60,1220
42,1390
54,1486
60,4245
42,5396
50,14006
56,1197.54
31,8651.98
40,1692
31,0
48,11610
55,147526
46,3355
32,2523.85
23,2
56,32766.9
59,32885.86
14,3440
37,108950.86
42,1507
42,767897.09
29,987
49,3818
59,74026
55,40062
51,0
28,665
36,10
23,1708
24,2500.5
58,1720.86
54,3405.98
20,1.51
26,11959.9
21,169
26,55
56,4656
48,3053
57,1045
10,1
54,60
28,21.7
25,1531
6,125
60,1653
45,5.3
54,173126.48
36,10177
24,4542.83
20,0
27,0
57,110
28,143.3
7,17933
30,5
59,6971.32
51,22665
60,0
23,76
26,1794.46
21,2
10,1004
56,175
25,0
59,0
49,1162
53,0
39,6353
44,262.2
13,2328.11
19,11444.64
57,26695
31,772
59,0
5,30673
36,2000
35,384.79
31,39090.97
22,9500
34,16680.01
15,1919
27,113
42,845
36,145
28,540
41,305
25,115
59,0
52,118923.5
35,670
60,5066.69
30,1760
49,128
29,750
40,20677
11,22.77
51,19711
27,12.65
23,153
11,0
42,27944.45
19,51
52,7068
24,7591
41,27135.53
23,140
18,1046
35,0
16,0
46,103307.65
9,35
14,14401
27,25877
20,1924.25
22,69
40,10769.87
20,0
16,2845
37,28036
53,9502
21,0
44,900
42,3661
25,5800
56,404.18
59,391
60,10618
17,2095
59,6442
16,9908
22,4
40,0
13,320
30,14200
31,2661.32
42,0
66,0
31,3299
19,16.73
42,20670
